node_left,connection,node_right,reference,notes
Gerard Barron,CEO,The Metals Company,,.
Graham Talbot,Managing Partner,The Seafloor Minerals Fund,https://www.seafloorminerals.fund/,.
Graham Talbot,General Partner,DYNE Asset Management,https://www.linkedin.com/in/grahamstuarttalbot/,.
Graham Talbot,Ex,Maersk,https://www.linkedin.com/in/grahamstuarttalbot/,
Graham Talbot,Ex,Seaspan,https://www.linkedin.com/in/grahamstuarttalbot/,
Graham Talbot,Ex,Atlas Corp ,https://www.linkedin.com/in/grahamstuarttalbot/,
Seaspan,Related to,Maersk,,
Atlas Corp ,Related to,Maersk,,
Maersk,Former investor / supplier,The Metals Company,,
Daina Paulikas,Operating Partner,The Seafloor Minerals Fund,https://www.seafloorminerals.fund/,.
Daina Paulikas,former Head of Battery Metals Sustainability Studies,The Metals Company,https://www.linkedin.com/in/dainapaulikas/,.
Daina Paulikas,advisor,Google,https://www.linkedin.com/in/dainapaulikas/,.
Sahil Abbi,Principal,The Seafloor Minerals Fund,https://www.seafloorminerals.fund/,.
Sahil Abbi,Investor,DYNE Maritime,https://www.samoanews.com/features/divergent-views-deep-sea-exploration-and-mining-pacific,"""Also in attendance was Sahil Abbi, an investor at DYNE, which is focused on providing investment to Cook Islands-based seabed mining companies. There are no companies mining the ocean floor in the Cook Islands, but exploration work is under way."""
Tim Gallaudet,Managing Partner,DYNE Maritime,https://www.afr.com/companies/financial-services/aussie-sets-up-157m-fund-for-aukus-technology-20231025-p5eerq,
Tim Gallaudet,is an American oceanographer and retired Rear Admiral in the ,United States Navy,https://en.wikipedia.org/wiki/Timothy_Gallaudet,
Tim Gallaudet,believes in,UFOs,https://en.wikipedia.org/wiki/Timothy_Gallaudet,
Mike Pompeo,Strategic Advisor,The Seafloor Minerals Fund,https://www.seafloorminerals.fund/,.
Scott Morrison,Strategic Advisor,The Seafloor Minerals Fund,https://www.seafloorminerals.fund/,.
Scott Morrison,Advisor,DYNE Maritime,https://www.skynews.com.au/australia-news/politics/scott-morrison-set-to-take-up-new-jobs-working-alongside-key-trump-administration-figures-mike-pompeo-and-robert-obrien/news-story/33838b460b12ca103d5214e6c3404457,.
Thomas Hennessey,Founder,DYNE Maritime,https://www.skynews.com.au/australia-news/politics/scott-morrison-set-to-take-up-new-jobs-working-alongside-key-trump-administration-figures-mike-pompeo-and-robert-obrien/news-story/33838b460b12ca103d5214e6c3404457,.
Thomas Hennessey,former surface warfare and intelligence officer,US Navy,https://www.afr.com/world/north-america/former-cia-head-mike-pompeo-to-advise-australian-aukus-tech-fund-20240104-p5ev21,.
Matthew Kibble,Founder,DYNE Maritime,https://www.skynews.com.au/australia-news/politics/scott-morrison-set-to-take-up-new-jobs-working-alongside-key-trump-administration-figures-mike-pompeo-and-robert-obrien/news-story/33838b460b12ca103d5214e6c3404457,.
Matthew Kibble,"Member, CNAS Board of Advisors",Centre for a New American Security,https://www.cnas.org/people/matthew-kibble,.
Matthew Kibble,Founder and Managing Partner,DYNE Asset Management,https://www.cnas.org/people/matthew-kibble,"""To support AUKUS and QUAD initiatives, Kibble formed DYNE Asset Management specifically to structure and invest in an opportunity to help address the US supply chain issue centered around CREE and also launched a DYNE Maritime Dual Use Fund to focus on early stage venture capital investments in the maritime domain."""
Matthew Kibble,Founder,Kibble Holdings,https://www.cnas.org/people/matthew-kibble,.
Kibble Holdings,Investor,CIC Polymetallic Nodule Exploration Project,https://kibbleholdings.com/portfolio/,.
Mike Pompeo,Strategic Advisor,DYNE Maritime,https://www.afr.com/world/north-america/former-cia-head-mike-pompeo-to-advise-australian-aukus-tech-fund-20240104-p5ev21,.
Thomas Hennessey,former investment banker,JPMorgan,https://www.afr.com/world/north-america/former-cia-head-mike-pompeo-to-advise-australian-aukus-tech-fund-20240104-p5ev21,.
Scott Morrison,Advisor,American Global Strategies,https://www.skynews.com.au/australia-news/politics/scott-morrison-set-to-take-up-new-jobs-working-alongside-key-trump-administration-figures-mike-pompeo-and-robert-obrien/news-story/33838b460b12ca103d5214e6c3404457,.
Robert O’Brien,at,American Global Strategies,https://www.skynews.com.au/australia-news/politics/scott-morrison-set-to-take-up-new-jobs-working-alongside-key-trump-administration-figures-mike-pompeo-and-robert-obrien/news-story/33838b460b12ca103d5214e6c3404457,.
Robert O’Brien,former National Security Advisor,US GOVT,https://www.skynews.com.au/australia-news/politics/scott-morrison-set-to-take-up-new-jobs-working-alongside-key-trump-administration-figures-mike-pompeo-and-robert-obrien/news-story/33838b460b12ca103d5214e6c3404457,.
Irongate Capital Advisors,working on AUKUS-linked fund with,DYNE Maritime,https://www.afr.com/companies/financial-services/aussie-sets-up-157m-fund-for-aukus-technology-20231025-p5eerq,.
Graham Talbot,working on AUKUS-linked fund with,DYNE Maritime,https://www.afr.com/companies/financial-services/aussie-sets-up-157m-fund-for-aukus-technology-20231025-p5eerq,.
Jordan Blashek,Advisor,DYNE Maritime,https://www.privateequityinternational.com/institution-profiles/dyne-asset-management.html,.
Dr Phillipp Hensler,Advisor,DYNE Maritime,https://www.privateequityinternational.com/institution-profiles/dyne-asset-management.html,.
James Murdoch,Board of Directors,Centre for a New American Security,https://www.cnas.org/people/james-murdoch,.
Scott Morrison,Board of Advisors ,Centre for a New American Security,https://www.cnas.org/people/scott-morrison,.
Josh Marcuse,Advisor,DYNE Asset Management,https://dyneam.com/advisors/josh-marcuse/,From the metadata: Joshua Marcuse works at the intersection of technology and national security. He was the first Executive Director of the Defense Innovation Board and served for more than a decade in the Department of Defense. Currently he is the Head of Strategy &amp; Innovation at Google Public Sector and serves on the advisory board of Capital &hellip;
Josh Marcuse,Executive Director ,Defense Innovation Board,https://dyneam.com/advisors/josh-marcuse/,.
Josh Marcuse,Formerly at,Department of Defense,https://dyneam.com/advisors/josh-marcuse/,.
Josh Marcuse,Advisory board,CapitalG ,https://dyneam.com/advisors/josh-marcuse/,.
Josh Marcuse,Head of Strategy & Innovation Google Public Sector,Google,https://dyneam.com/advisors/josh-marcuse/,.
Josh Marcuse,Non-Resident Expert,Centre for Strategic and International Studies,https://www.csis.org/about/people/non-resident-experts,.
Kevin Rudd,Non-Resident Expert,Centre for Strategic and International Studies,,.
Alastair Walton,Leader,DYNE Asset Management,https://web.archive.org/web/20230224040635/https://dyneam.com/,.
Alastair Walton,Co-founder,DYNE Capital LLC,https://www.sec.gov/Archives/edgar/data/1892387/000121390021063685/fs12021_twelveseas4.htm,
Alastair Walton,Consul-General of Australia to New York,AUS GOVT,https://web.archive.org/web/20230224040635/https://dyneam.com/,.
Alastair Walton,former Chairman,BKK Partners,https://web.archive.org/web/20230224040635/https://dyneam.com/,.
